phase,strategy,params,ok,error,sharpe,sortino,win_rate,max_drawdown,total_return,cagr,profit_factor,total_trades,trade_days,elapsed_sec
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1036.4
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1066.6
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1073.0
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1080.5
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1084.0
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1084.9
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1085.6
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.0, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1085.9
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1088.4
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1090.2
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1091.9
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1092.4
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1093.7
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1093.9
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1095.3
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1095.5
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1096.8
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1096.9
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1097.3
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1097.4
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1097.8
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1098.2
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1098.3
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1098.8
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.15, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1099.0
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1099.2
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.07, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1099.4
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1099.6
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1099.7
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 7, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1100.2
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 5, ""prob_threshold"": 0.4, ""stop_lambda"": 2.0}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1100.6
phase1_sweep_80pct,standard,"{""hard_stop_loss"": 0.25, ""kelly_cap"": 0.15, ""kelly_multiplier"": 0.3, ""max_concurrent_trades"": 10, ""prob_threshold"": 0.4, ""stop_lambda"": 1.5}",True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1100.8
