strategy,params,sharpe,sortino,cumulative_pnl_pct,max_drawdown_pct,win_rate_pct,trades_triggered,profit_factor,status
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.2685,-0.3575,-4.5439,4.726,39.73,146,0.487,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.1275,-0.0233,-0.3343,1.0995,52.83,53,0.8916,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.1275,0.0276,0.3644,0.9603,54.79,73,1.0933,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.7594,0.159,1.3282,0.2752,64.29,28,2.4584,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6171,0.119,1.092,0.3933,59.38,32,1.9367,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.217,0.0368,0.479,0.6565,58.54,41,1.2003,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.3491,-0.0724,-1.18,2.0601,52.38,84,0.7979,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.1058,-0.3558,-4.9016,5.8636,40.19,214,0.6202,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.5167,-0.1013,-1.6509,2.5077,48.44,64,0.6718,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.254,0.0426,0.5714,0.6565,60.53,38,1.2519,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.7013,-0.4714,-6.7549,6.7549,41.04,173,0.4127,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.7087,-0.5527,-8.6139,8.8057,40.57,244,0.4772,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.6173,-0.4532,-6.9145,6.9145,41.04,173,0.422,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.4568,-0.0902,-1.56,2.5076,48.44,64,0.7005,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.2924,-0.0608,-1.0503,2.0601,52.38,84,0.8255,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.533,-0.5076,-8.3125,8.7884,40.57,244,0.511,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.2781,0.0473,0.6348,0.6565,60.53,38,1.2798,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.2421,0.0416,0.5424,0.6565,58.54,41,1.2267,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.1722,-0.3382,-4.4764,4.7258,39.73,146,0.5042,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.9747,-0.3222,-4.5742,5.8047,40.19,214,0.651,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.1174,-0.0213,-0.3275,1.0995,52.83,53,0.8972,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.1616,0.0351,0.494,0.9603,54.79,73,1.1231,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.7735,0.1669,1.395,0.2752,64.29,28,2.531,ok
